Business Area,Cost element name,Cost Element Group,Cost Element Sub Group,Value Column Name,Value
"BU","License Fees","Other","Moving","LE1",
"BU","License Fees","Other","Other","LE1","33750"
"BU","License Fees","Other","Project Expenses","LE1",
"BU","License Fees","Other","Recognition","LE1",
"BU","License Fees","Other","Severance","LE1",
"BU","License Fees","Other","Supplies","LE1",
"BU","License Fees","Other","Taxes","LE1",
"BU","License Fees","Other","Telecomm","LE1",
"BU","License Fees","Other","Training","LE1",
"BU","License Fees","Other","Travel","LE1",
"BU","License Fees","Other","Vehicles","LE1",
"BU","License Fees","Shared Services","Inbound Allocations","LE1",
"BU","License Fees","Shared Services","Outbound Allocations","LE1",
"BU","Employee Benefits","Administrative","Administrative","LE1",
"BU","Employee Benefits","CAPEX","CAPEX","LE1",
"BU","Employee Benefits","Depr & Amort","Amortization","LE1",
"BU","Employee Benefits","Depr & Amort","Depreciation","LE1",
"BU","Employee Benefits","Hardware & Software","Hardware","LE1",
"BU","Employee Benefits","Hardware & Software","Hardware Maintenance","LE1",
"BU","Employee Benefits","Hardware & Software","Software","LE1",
"BU","Employee Benefits","Hardware & Software","Software Maintenance","LE1",
"BU","Employee Benefits","Labor","External Labor","LE1",
"BU","Employee Benefits","Labor","Internal Labor","LE1","29432.37300000001"
"BU","Employee Benefits","Other","Employee Performance","LE1",
"BU","Employee Benefits","Other","Legal","LE1",
"BU","Employee Benefits","Other","Moving","LE1",
"BU","Employee Benefits","Other","Other","LE1",
"BU","Employee Benefits","Other","Project Expenses","LE1",
"BU","Employee Benefits","Other","Recognition","LE1",
"BU","Employee Benefits","Other","Severance","LE1",
"BU","Employee Benefits","Other","Supplies","LE1",
"BU","Employee Benefits","Other","Taxes","LE1",
"BU","Employee Benefits","Other","Telecomm","LE1",
"BU","Employee Benefits","Other","Training","LE1",
"BU","Employee Benefits","Other","Travel","LE1",
"BU","Employee Benefits","Other","Vehicles","LE1",
"BU","Employee Benefits","Shared Services","Inbound Allocations","LE1",
"BU","Employee Benefits","Shared Services","Outbound Allocations","LE1",
"BU","Lease","Administrative","Administrative","LE1",
"BU","Lease","CAPEX","CAPEX","LE1",
"BU","Lease","Depr & Amort","Amortization","LE1",
"BU","Lease","Depr & Amort","Depreciation","LE1",
"BU","Lease","Hardware & Software","Hardware","LE1",
"BU","Lease","Hardware & Software","Hardware Maintenance","LE1",
"BU","Lease","Hardware & Software","Software","LE1",
"BU","Lease","Hardware & Software","Software Maintenance","LE1",
"BU","Lease","Labor","External Labor","LE1",
"BU","Lease","Labor","Internal Labor","LE1",
"BU","Lease","Other","Employee Performance","LE1",
"BU","Lease","Other","Legal","LE1",
"BU","Lease","Other","Moving","LE1",
"BU","Lease","Other","Other","LE1",
"BU","Lease","Other","Project Expenses","LE1",
"BU","Lease","Other","Recognition","LE1",
"BU","Lease","Other","Severance","LE1",
"BU","Lease","Other","Supplies","LE1",
"BU","Lease","Other","Taxes","LE1",
"BU","Lease","Other","Telecomm","LE1",
"BU","Lease","Other","Training","LE1",
"BU","Lease","Other","Travel","LE1",
"BU","Lease","Other","Vehicles","LE1","28112.103"
"BU","Lease","Shared Services","Inbound Allocations","LE1",
"BU","Lease","Shared Services","Outbound Allocations","LE1",
"BU","Indemnification and Separation Allowance","Administrative","Administrative","LE1",
"BU","Indemnification and Separation Allowance","CAPEX","CAPEX","LE1",
"BU","Indemnification and Separation Allowance","Depr & Amort","Amortization","LE1",
"BU","Indemnification and Separation Allowance","Depr & Amort","Depreciation","LE1",
"BU","Indemnification and Separation Allowance","Hardware & Software","Hardware","LE1",
"BU","Indemnification and Separation Allowance","Hardware & Software","Hardware Maintenance","LE1",
"BU","Indemnification and Separation Allowance","Hardware & Software","Software","LE1",
"BU","Indemnification and Separation Allowance","Hardware & Software","Software Maintenance","LE1",
"BU","Indemnification and Separation Allowance","Labor","External Labor","LE1",
"BU","Indemnification and Separation Allowance","Labor","Internal Labor","LE1",
"BU","Indemnification and Separation Allowance","Other","Employee Performance","LE1",
"BU","Indemnification and Separation Allowance","Other","Legal","LE1",
"BU","Indemnification and Separation Allowance","Other","Moving","LE1",
"BU","Indemnification and Separation Allowance","Other","Other","LE1",
"BU","Indemnification and Separation Allowance","Other","Project Expenses","LE1",
"BU","Indemnification and Separation Allowance","Other","Recognition","LE1",
"BU","Indemnification and Separation Allowance","Other","Severance","LE1","25037.898"
"BU","Indemnification and Separation Allowance","Other","Supplies","LE1",
"BU","Indemnification and Separation Allowance","Other","Taxes","LE1",
"BU","Indemnification and Separation Allowance","Other","Telecomm","LE1",
"BU","Indemnification and Separation Allowance","Other","Training","LE1",
"BU","Indemnification and Separation Allowance","Other","Travel","LE1",
"BU","Indemnification and Separation Allowance","Other","Vehicles","LE1",
"BU","Indemnification and Separation Allowance","Shared Services","Inbound Allocations","LE1",
"BU","Indemnification and Separation Allowance","Shared Services","Outbound Allocations","LE1",
"BU","Telecom","Administrative","Administrative","LE1",
"BU","Telecom","CAPEX","CAPEX","LE1",
"BU","Telecom","Depr & Amort","Amortization","LE1",
"BU","Telecom","Depr & Amort","Depreciation","LE1",
"BU","Telecom","Hardware & Software","Hardware","LE1",
"BU","Telecom","Hardware & Software","Hardware Maintenance","LE1",
"BU","Telecom","Hardware & Software","Software","LE1",
"BU","Telecom","Hardware & Software","Software Maintenance","LE1",
"BU","Telecom","Labor","External Labor","LE1",
"BU","Telecom","Labor","Internal Labor","LE1",
"BU","Telecom","Other","Employee Performance","LE1",
"BU","Telecom","Other","Legal","LE1",
"BU","Telecom","Other","Moving","LE1",
"BU","Telecom","Other","Other","LE1",
"BU","Telecom","Other","Project Expenses","LE1",
"BU","Telecom","Other","Recognition","LE1",
"BU","Telecom","Other","Severance","LE1",
"BU","Telecom","Other","Supplies","LE1",
"BU","Telecom","Other","Taxes","LE1",
"BU","Telecom","Other","Telecomm","LE1","23592.962999999996"
"BU","Telecom","Other","Training","LE1",
"BU","Telecom","Other","Travel","LE1",
"BU","Telecom","Other","Vehicles","LE1",
"BU","Telecom","Shared Services","Inbound Allocations","LE1",
"BU","Telecom","Shared Services","Outbound Allocations","LE1",
"BU","Computer Rental","Administrative","Administrative","LE1",
"BU","Computer Rental","CAPEX","CAPEX","LE1",
"BU","Computer Rental","Depr & Amort","Amortization","LE1",
"BU","Computer Rental","Depr & Amort","Depreciation","LE1",
"BU","Computer Rental","Hardware & Software","Hardware","LE1","22856.79"
"BU","Computer Rental","Hardware & Software","Hardware Maintenance","LE1",
"BU","Computer Rental","Hardware & Software","Software","LE1",
"BU","Computer Rental","Hardware & Software","Software Maintenance","LE1",
"BU","Computer Rental","Labor","External Labor","LE1",
"BU","Computer Rental","Labor","Internal Labor","LE1",
"BU","Computer Rental","Other","Employee Performance","LE1",
"BU","Computer Rental","Other","Legal","LE1",
"BU","Computer Rental","Other","Moving","LE1",
"BU","Computer Rental","Other","Other","LE1",
"BU","Computer Rental","Other","Project Expenses","LE1",
"BU","Computer Rental","Other","Recognition","LE1",
"BU","Computer Rental","Other","Severance","LE1",
"BU","Computer Rental","Other","Supplies","LE1",
"BU","Computer Rental","Other","Taxes","LE1",
"BU","Computer Rental","Other","Telecomm","LE1",
"BU","Computer Rental","Other","Training","LE1",
"BU","Computer Rental","Other","Travel","LE1",
"BU","Computer Rental","Other","Vehicles","LE1",
"BU","Computer Rental","Shared Services","Inbound Allocations","LE1",
"BU","Computer Rental","Shared Services","Outbound Allocations","LE1",
"BU","Vacation","Administrative","Administrative","LE1",
"BU","Vacation","CAPEX","CAPEX","LE1",
"BU","Vacation","Depr & Amort","Amortization","LE1",
"BU","Vacation","Depr & Amort","Depreciation","LE1",
"BU","Vacation","Hardware & Software","Hardware","LE1",
"BU","Vacation","Hardware & Software","Hardware Maintenance","LE1",
"BU","Vacation","Hardware & Software","Software","LE1",
"BU","Vacation","Hardware & Software","Software Maintenance","LE1",
"BU","Vacation","Labor","External Labor","LE1",
"BU","Vacation","Labor","Internal Labor","LE1","15993.354000000001"
"BU","Vacation","Other","Employee Performance","LE1",
"BU","Vacation","Other","Legal","LE1",
"BU","Vacation","Other","Moving","LE1",
"BU","Vacation","Other","Other","LE1",
"BU","Vacation","Other","Project Expenses","LE1",
"BU","Vacation","Other","Recognition","LE1",
"BU","Vacation","Other","Severance","LE1",
"BU","Vacation","Other","Supplies","LE1",
"BU","Vacation","Other","Taxes","LE1",
"BU","Vacation","Other","Telecomm","LE1",
"BU","Vacation","Other","Training","LE1",
"BU","Vacation","Other","Travel","LE1",
"BU","Vacation","Other","Vehicles","LE1",
"BU","Vacation","Shared Services","Inbound Allocations","LE1",
"BU","Vacation","Shared Services","Outbound Allocations","LE1",
"BU","Leasing","Administrative","Administrative","LE1",
"BU","Leasing","CAPEX","CAPEX","LE1",
"BU","Leasing","Depr & Amort","Amortization","LE1",
"BU","Leasing","Depr & Amort","Depreciation","LE1",
"BU","Leasing","Hardware & Software","Hardware","LE1",
"BU","Leasing","Hardware & Software","Hardware Maintenance","LE1",
"BU","Leasing","Hardware & Software","Software","LE1",
"BU","Leasing","Hardware & Software","Software Maintenance","LE1",
"BU","Leasing","Labor","External Labor","LE1",
"BU","Leasing","Labor","Internal Labor","LE1",
"BU","Leasing","Other","Employee Performance","LE1",
"BU","Leasing","Other","Legal","LE1",
"BU","Leasing","Other","Moving","LE1",
"BU","Leasing","Other","Other","LE1","11854.232999999998"
"BU","Leasing","Other","Project Expenses","LE1",
"BU","Leasing","Other","Recognition","LE1",
"BU","Leasing","Other","Severance","LE1",
"BU","Leasing","Other","Supplies","LE1",
"BU","Leasing","Other","Taxes","LE1",
"BU","Leasing","Other","Telecomm","LE1",
"BU","Leasing","Other","Training","LE1",
"BU","Leasing","Other","Travel","LE1",
"BU","Leasing","Other","Vehicles","LE1",
"BU","Leasing","Shared Services","Inbound Allocations","LE1",
"BU","Leasing","Shared Services","Outbound Allocations","LE1",
"BU","Other Bonuses","Administrative","Administrative","LE1",
"BU","Other Bonuses","CAPEX","CAPEX","LE1",
"BU","Other Bonuses","Depr & Amort","Amortization","LE1",
"BU","Other Bonuses","Depr & Amort","Depreciation","LE1",
"BU","Other Bonuses","Hardware & Software","Hardware","LE1",
"BU","Other Bonuses","Hardware & Software","Hardware Maintenance","LE1",
"BU","Other Bonuses","Hardware & Software","Software","LE1",
"BU","Other Bonuses","Hardware & Software","Software Maintenance","LE1",
"BU","Other Bonuses","Labor","External Labor","LE1",
"BU","Other Bonuses","Labor","Internal Labor","LE1","11208.399"
"BU","Other Bonuses","Other","Employee Performance","LE1",
"BU","Other Bonuses","Other","Legal","LE1",
"BU","Other Bonuses","Other","Moving","LE1",
"BU","Other Bonuses","Other","Other","LE1",
"BU","Other Bonuses","Other","Project Expenses","LE1",
"BU","Other Bonuses","Other","Recognition","LE1",
"BU","Other Bonuses","Other","Severance","LE1",
"BU","Other Bonuses","Other","Supplies","LE1",
"BU","Other Bonuses","Other","Taxes","LE1",
"BU","Other Bonuses","Other","Telecomm","LE1",
"BU","Other Bonuses","Other","Training","LE1",
"BU","Other Bonuses","Other","Travel","LE1",
"BU","Other Bonuses","Other","Vehicles","LE1",
"BU","Other Bonuses","Shared Services","Inbound Allocations","LE1",
"BU","Other Bonuses","Shared Services","Outbound Allocations","LE1",
"BU","Property Taxes","Administrative","Administrative","LE1",
"BU","Property Taxes","CAPEX","CAPEX","LE1",
"BU","Property Taxes","Depr & Amort","Amortization","LE1",
"BU","Property Taxes","Depr & Amort","Depreciation","LE1",
"BU","Property Taxes","Hardware & Software","Hardware","LE1",
"BU","Property Taxes","Hardware & Software","Hardware Maintenance","LE1",
"BU","Property Taxes","Hardware & Software","Software","LE1",
"BU","Property Taxes","Hardware & Software","Software Maintenance","LE1",
"BU","Property Taxes","Labor","External Labor","LE1",
"BU","Property Taxes","Labor","Internal Labor","LE1",
"BU","Property Taxes","Other","Employee Performance","LE1",
"BU","Property Taxes","Other","Legal","LE1",
"BU","Property Taxes","Other","Moving","LE1",
"BU","Property Taxes","Other","Other","LE1",
"BU","Property Taxes","Other","Project Expenses","LE1",
"BU","Property Taxes","Other","Recognition","LE1",
"BU","Property Taxes","Other","Severance","LE1",
"BU","Property Taxes","Other","Supplies","LE1",
"BU","Property Taxes","Other","Taxes","LE1","9772.89"
"BU","Property Taxes","Other","Telecomm","LE1",
"BU","Property Taxes","Other","Training","LE1",
"BU","Property Taxes","Other","Travel","LE1",
"BU","Property Taxes","Other","Vehicles","LE1",
"BU","Property Taxes","Shared Services","Inbound Allocations","LE1",
"BU","Property Taxes","Shared Services","Outbound Allocations","LE1",
"BU","Other Charges","Administrative","Administrative","LE1",
"BU","Other Charges","CAPEX","CAPEX","LE1",
"BU","Other Charges","Depr & Amort","Amortization","LE1",
"BU","Other Charges","Depr & Amort","Depreciation","LE1",
"BU","Other Charges","Hardware & Software","Hardware","LE1",
"BU","Other Charges","Hardware & Software","Hardware Maintenance","LE1",
"BU","Other Charges","Hardware & Software","Software","LE1",
"BU","Other Charges","Hardware & Software","Software Maintenance","LE1",
"BU","Other Charges","Labor","External Labor","LE1",
"BU","Other Charges","Labor","Internal Labor","LE1",
"BU","Other Charges","Other","Employee Performance","LE1",
"BU","Other Charges","Other","Legal","LE1",
"BU","Other Charges","Other","Moving","LE1",
"BU","Other Charges","Other","Other","LE1",
"BU","Other Charges","Other","Project Expenses","LE1",
"BU","Other Charges","Other","Recognition","LE1",
"BU","Other Charges","Other","Severance","LE1",
"BU","Other Charges","Other","Supplies","LE1",
"BU","Other Charges","Other","Taxes","LE1",
"BU","Other Charges","Other","Telecomm","LE1",
"BU","Other Charges","Other","Training","LE1",
"BU","Other Charges","Other","Travel","LE1",
"BU","Other Charges","Other","Vehicles","LE1",
"BU","Other Charges","Shared Services","Inbound Allocations","LE1",
"BU","Other Charges","Shared Services","Outbound Allocations","LE1","8603.936999999996"
"BU","Employee Wellness","Administrative","Administrative","LE1",
"BU","Employee Wellness","CAPEX","CAPEX","LE1",
"BU","Employee Wellness","Depr & Amort","Amortization","LE1",
"BU","Employee Wellness","Depr & Amort","Depreciation","LE1",
"BU","Employee Wellness","Hardware & Software","Hardware","LE1",
"BU","Employee Wellness","Hardware & Software","Hardware Maintenance","LE1",
"BU","Employee Wellness","Hardware & Software","Software","LE1",
"BU","Employee Wellness","Hardware & Software","Software Maintenance","LE1",
"BU","Employee Wellness","Labor","External Labor","LE1",
"BU","Employee Wellness","Labor","Internal Labor","LE1","8569.922999999999"
"BU","Employee Wellness","Other","Employee Performance","LE1",
"BU","Employee Wellness","Other","Legal","LE1",
"BU","Employee Wellness","Other","Moving","LE1",
"BU","Employee Wellness","Other","Other","LE1",
"BU","Employee Wellness","Other","Project Expenses","LE1",
"BU","Employee Wellness","Other","Recognition","LE1",
"BU","Employee Wellness","Other","Severance","LE1",
"BU","Employee Wellness","Other","Supplies","LE1",
"BU","Employee Wellness","Other","Taxes","LE1",
"BU","Employee Wellness","Other","Telecomm","LE1",
"BU","Employee Wellness","Other","Training","LE1",
"BU","Employee Wellness","Other","Travel","LE1",
"BU","Employee Wellness","Other","Vehicles","LE1",
"BU","Employee Wellness","Shared Services","Inbound Allocations","LE1",
"BU","Employee Wellness","Shared Services","Outbound Allocations","LE1",
"BU","Allowances","Administrative","Administrative","LE1",
"BU","Allowances","CAPEX","CAPEX","LE1",
"BU","Allowances","Depr & Amort","Amortization","LE1",
"BU","Allowances","Depr & Amort","Depreciation","LE1",
"BU","Allowances","Hardware & Software","Hardware","LE1",
"BU","Allowances","Hardware & Software","Hardware Maintenance","LE1",
"BU","Allowances","Hardware & Software","Software","LE1",
"BU","Allowances","Hardware & Software","Software Maintenance","LE1",
"BU","Allowances","Labor","External Labor","LE1",
"BU","Allowances","Labor","Internal Labor","LE1","8250.777"
"BU","Allowances","Other","Employee Performance","LE1",
"BU","Allowances","Other","Legal","LE1",
"BU","Allowances","Other","Moving","LE1",
"BU","Allowances","Other","Other","LE1",
"BU","Allowances","Other","Project Expenses","LE1",
"BU","Allowances","Other","Recognition","LE1",
"BU","Allowances","Other","Severance","LE1",
"BU","Allowances","Other","Supplies","LE1",
"BU","Allowances","Other","Taxes","LE1",
"BU","Allowances","Other","Telecomm","LE1",
"BU","Allowances","Other","Training","LE1",
"BU","Allowances","Other","Travel","LE1",
"BU","Allowances","Other","Vehicles","LE1",
"BU","Allowances","Shared Services","Inbound Allocations","LE1",
"BU","Allowances","Shared Services","Outbound Allocations","LE1",
"BU","Payroll Taxes - Other","Administrative","Administrative","LE1",
"BU","Payroll Taxes - Other","CAPEX","CAPEX","LE1",
"BU","Payroll Taxes - Other","Depr & Amort","Amortization","LE1",
"BU","Payroll Taxes - Other","Depr & Amort","Depreciation","LE1",
"BU","Payroll Taxes - Other","Hardware & Software","Hardware","LE1",
"BU","Payroll Taxes - Other","Hardware & Software","Hardware Maintenance","LE1",
"BU","Payroll Taxes - Other","Hardware & Software","Software","LE1",
"BU","Payroll Taxes - Other","Hardware & Software","Software Maintenance","LE1",
"BU","Payroll Taxes - Other","Labor","External Labor","LE1",
"BU","Payroll Taxes - Other","Labor","Internal Labor","LE1","8139.629999999999"
"BU","Payroll Taxes - Other","Other","Employee Performance","LE1",
"BU","Payroll Taxes - Other","Other","Legal","LE1",
"BU","Payroll Taxes - Other","Other","Moving","LE1",
"BU","Payroll Taxes - Other","Other","Other","LE1",
"BU","Payroll Taxes - Other","Other","Project Expenses","LE1",
"BU","Payroll Taxes - Other","Other","Recognition","LE1",
"BU","Payroll Taxes - Other","Other","Severance","LE1",
"BU","Payroll Taxes - Other","Other","Supplies","LE1",
"BU","Payroll Taxes - Other","Other","Taxes","LE1",
"BU","Payroll Taxes - Other","Other","Telecomm","LE1",
"BU","Payroll Taxes - Other","Other","Training","LE1",
"BU","Payroll Taxes - Other","Other","Travel","LE1",
"BU","Payroll Taxes - Other","Other","Vehicles","LE1",
"BU","Payroll Taxes - Other","Shared Services","Inbound Allocations","LE1",
"BU","Payroll Taxes - Other","Shared Services","Outbound Allocations","LE1",
"BU","M&E-100% Deductible","Administrative","Administrative","LE1",
"BU","M&E-100% Deductible","CAPEX","CAPEX","LE1",
"BU","M&E-100% Deductible","Depr & Amort","Amortization","LE1",
"BU","M&E-100% Deductible","Depr & Amort","Depreciation","LE1",
"BU","M&E-100% Deductible","Hardware & Software","Hardware","LE1",
"BU","M&E-100% Deductible","Hardware & Software","Hardware Maintenance","LE1",
"BU","M&E-100% Deductible","Hardware & Software","Software","LE1",
"BU","M&E-100% Deductible","Hardware & Software","Software Maintenance","LE1",
"BU","M&E-100% Deductible","Labor","External Labor","LE1",
"BU","M&E-100% Deductible","Labor","Internal Labor","LE1",
"BU","M&E-100% Deductible","Other","Employee Performance","LE1",
"BU","M&E-100% Deductible","Other","Legal","LE1",
"BU","M&E-100% Deductible","Other","Moving","LE1",
"BU","M&E-100% Deductible","Other","Other","LE1",
"BU","M&E-100% Deductible","Other","Project Expenses","LE1",
"BU","M&E-100% Deductible","Other","Recognition","LE1",
"BU","M&E-100% Deductible","Other","Severance","LE1",
"BU","M&E-100% Deductible","Other","Supplies","LE1",
"BU","M&E-100% Deductible","Other","Taxes","LE1",
"BU","M&E-100% Deductible","Other","Telecomm","LE1",
"BU","M&E-100% Deductible","Other","Training","LE1",
"BU","M&E-100% Deductible","Other","Travel","LE1","7541.891999999997"
"BU","M&E-100% Deductible","Other","Vehicles","LE1",
"BU","M&E-100% Deductible","Shared Services","Inbound Allocations","LE1",
"BU","M&E-100% Deductible","Shared Services","Outbound Allocations","LE1",
"BU","Materials","Administrative","Administrative","LE1",
"BU","Materials","CAPEX","CAPEX","LE1",
"BU","Materials","Depr & Amort","Amortization","LE1",
"BU","Materials","Depr & Amort","Depreciation","LE1",
"BU","Materials","Hardware & Software","Hardware","LE1",
"BU","Materials","Hardware & Software","Hardware Maintenance","LE1",
"BU","Materials","Hardware & Software","Software","LE1",
"BU","Materials","Hardware & Software","Software Maintenance","LE1",
"BU","Materials","Labor","External Labor","LE1",
"BU","Materials","Labor","Internal Labor","LE1",
"BU","Materials","Other","Employee Performance","LE1",
"BU","Materials","Other","Legal","LE1",
"BU","Materials","Other","Moving","LE1",
"BU","Materials","Other","Other","LE1","5.1"
"BU","Materials","Other","Project Expenses","LE1",
"BU","Materials","Other","Recognition","LE1",
"BU","Materials","Other","Severance","LE1",
"BU","Materials","Other","Supplies","LE1","7059.3749999999945"
"BU","Materials","Other","Taxes","LE1",
"BU","Materials","Other","Telecomm","LE1",
"BU","Materials","Other","Training","LE1",
"BU","Materials","Other","Travel","LE1",
"BU","Materials","Other","Vehicles","LE1",
"BU","Materials","Shared Services","Inbound Allocations","LE1",
"BU","Materials","Shared Services","Outbound Allocations","LE1",
"BU","Payroll Taxes - Retirement","Administrative","Administrative","LE1",
"BU","Payroll Taxes - Retirement","CAPEX","CAPEX","LE1",
"BU","Payroll Taxes - Retirement","Depr & Amort","Amortization","LE1",
"BU","Payroll Taxes - Retirement","Depr & Amort","Depreciation","LE1",
"BU","Payroll Taxes - Retirement","Hardware & Software","Hardware","LE1",
"BU","Payroll Taxes - Retirement","Hardware & Software","Hardware Maintenance","LE1",
"BU","Payroll Taxes - Retirement","Hardware & Software","Software","LE1",
"BU","Payroll Taxes - Retirement","Hardware & Software","Software Maintenance","LE1",
"BU","Payroll Taxes - Retirement","Labor","External Labor","LE1",
"BU","Payroll Taxes - Retirement","Labor","Internal Labor","LE1","6360.054000000001"
"BU","Payroll Taxes - Retirement","Other","Employee Performance","LE1",
"BU","Payroll Taxes - Retirement","Other","Legal","LE1",
"BU","Payroll Taxes - Retirement","Other","Moving","LE1",
"BU","Payroll Taxes - Retirement","Other","Other","LE1",
"BU","Payroll Taxes - Retirement","Other","Project Expenses","LE1",
"BU","Payroll Taxes - Retirement","Other","Recognition","LE1",
"BU","Payroll Taxes - Retirement","Other","Severance","LE1",
"BU","Payroll Taxes - Retirement","Other","Supplies","LE1",
"BU","Payroll Taxes - Retirement","Other","Taxes","LE1",
"BU","Payroll Taxes - Retirement","Other","Telecomm","LE1",
"BU","Payroll Taxes - Retirement","Other","Training","LE1",
"BU","Payroll Taxes - Retirement","Other","Travel","LE1",
"BU","Payroll Taxes - Retirement","Other","Vehicles","LE1",
"BU","Payroll Taxes - Retirement","Shared Services","Inbound Allocations","LE1",
"BU","Payroll Taxes - Retirement","Shared Services","Outbound Allocations","LE1",
"BU","Other ( - Tax )","Administrative","Administrative","LE1",
"BU","Other ( - Tax )","CAPEX","CAPEX","LE1",
"BU","Other ( - Tax )","Depr & Amort","Amortization","LE1",
"BU","Other ( - Tax )","Depr & Amort","Depreciation","LE1",
"BU","Other ( - Tax )","Hardware & Software","Hardware","LE1",
"BU","Other ( - Tax )","Hardware & Software","Hardware Maintenance","LE1",
"BU","Other ( - Tax )","Hardware & Software","Software","LE1",
"BU","Other ( - Tax )","Hardware & Software","Software Maintenance","LE1",
"BU","Other ( - Tax )","Labor","External Labor","LE1",
"BU","Other ( - Tax )","Labor","Internal Labor","LE1","6031.934999999999"
"BU","Other ( - Tax )","Other","Employee Performance","LE1",
"BU","Other ( - Tax )","Other","Legal","LE1",
"BU","Other ( - Tax )","Other","Moving","LE1",
"BU","Other ( - Tax )","Other","Other","LE1",
"BU","Other ( - Tax )","Other","Project Expenses","LE1",
"BU","Other ( - Tax )","Other","Recognition","LE1",
"BU","Other ( - Tax )","Other","Severance","LE1",
"BU","Other ( - Tax )","Other","Supplies","LE1",
"BU","Other ( - Tax )","Other","Taxes","LE1",
"BU","Other ( - Tax )","Other","Telecomm","LE1",
"BU","Other ( - Tax )","Other","Training","LE1",
"BU","Other ( - Tax )","Other","Travel","LE1",
"BU","Other ( - Tax )","Other","Vehicles","LE1",
"BU","Other ( - Tax )","Shared Services","Inbound Allocations","LE1",
"BU","Other ( - Tax )","Shared Services","Outbound Allocations","LE1",
"BU","Office Rental","Administrative","Administrative","LE1",
"BU","Office Rental","CAPEX","CAPEX","LE1",
"BU","Office Rental","Depr & Amort","Amortization","LE1",
"BU","Office Rental","Depr & Amort","Depreciation","LE1",
"BU","Office Rental","Hardware & Software","Hardware","LE1",
"BU","Office Rental","Hardware & Software","Hardware Maintenance","LE1",
"BU","Office Rental","Hardware & Software","Software","LE1",
"BU","Office Rental","Hardware & Software","Software Maintenance","LE1",
"BU","Office Rental","Labor","External Labor","LE1",
"BU","Office Rental","Labor","Internal Labor","LE1",
"BU","Office Rental","Other","Employee Performance","LE1",
"BU","Office Rental","Other","Legal","LE1",
"BU","Office Rental","Other","Moving","LE1",
"BU","Office Rental","Other","Other","LE1","5926.62"
"BU","Office Rental","Other","Project Expenses","LE1",
"BU","Office Rental","Other","Recognition","LE1",
"BU","Office Rental","Other","Severance","LE1",
"BU","Office Rental","Other","Supplies","LE1",
"BU","Office Rental","Other","Taxes","LE1",
"BU","Office Rental","Other","Telecomm","LE1",
"BU","Office Rental","Other","Training","LE1",
"BU","Office Rental","Other","Travel","LE1",
"BU","Office Rental","Other","Vehicles","LE1",
"BU","Office Rental","Shared Services","Inbound Allocations","LE1",
"BU","Office Rental","Shared Services","Outbound Allocations","LE1",
"BU","Payroll Taxes - Non-Domestic","Administrative","Administrative","LE1",
"BU","Payroll Taxes - Non-Domestic","CAPEX","CAPEX","LE1",
"BU","Payroll Taxes - Non-Domestic","Depr & Amort","Amortization","LE1",
"BU","Payroll Taxes - Non-Domestic","Depr & Amort","Depreciation","LE1",
"BU","Payroll Taxes - Non-Domestic","Hardware & Software","Hardware","LE1",
"BU","Payroll Taxes - Non-Domestic","Hardware & Software","Hardware Maintenance","LE1",
"BU","Payroll Taxes - Non-Domestic","Hardware & Software","Software","LE1",
"BU","Payroll Taxes - Non-Domestic","Hardware & Software","Software Maintenance","LE1",
"BU","Payroll Taxes - Non-Domestic","Labor","External Labor","LE1",
"BU","Payroll Taxes - Non-Domestic","Labor","Internal Labor","LE1","5922.098999999999"
"BU","Payroll Taxes - Non-Domestic","Other","Employee Performance","LE1",
"BU","Payroll Taxes - Non-Domestic","Other","Legal","LE1",
"BU","Payroll Taxes - Non-Domestic","Other","Moving","LE1",
"BU","Payroll Taxes - Non-Domestic","Other","Other","LE1",
"BU","Payroll Taxes - Non-Domestic","Other","Project Expenses","LE1",
"BU","Payroll Taxes - Non-Domestic","Other","Recognition","LE1",
"BU","Payroll Taxes - Non-Domestic","Other","Severance","LE1",
"BU","Payroll Taxes - Non-Domestic","Other","Supplies","LE1",
"BU","Payroll Taxes - Non-Domestic","Other","Taxes","LE1",
"BU","Payroll Taxes - Non-Domestic","Other","Telecomm","LE1",
"BU","Payroll Taxes - Non-Domestic","Other","Training","LE1",
"BU","Payroll Taxes - Non-Domestic","Other","Travel","LE1",
"BU","Payroll Taxes - Non-Domestic","Other","Vehicles","LE1",
"BU","Payroll Taxes - Non-Domestic","Shared Services","Inbound Allocations","LE1",
"BU","Payroll Taxes - Non-Domestic","Shared Services","Outbound Allocations","LE1",
"BU","Temporary Transfers","Administrative","Administrative","LE1",
"BU","Temporary Transfers","CAPEX","CAPEX","LE1",
"BU","Temporary Transfers","Depr & Amort","Amortization","LE1",
"BU","Temporary Transfers","Depr & Amort","Depreciation","LE1",
"BU","Temporary Transfers","Hardware & Software","Hardware","LE1",
"BU","Temporary Transfers","Hardware & Software","Hardware Maintenance","LE1",
"BU","Temporary Transfers","Hardware & Software","Software","LE1",
"BU","Temporary Transfers","Hardware & Software","Software Maintenance","LE1",
"BU","Temporary Transfers","Labor","External Labor","LE1",
"BU","Temporary Transfers","Labor","Internal Labor","LE1","5362.287"
"BU","Temporary Transfers","Other","Employee Performance","LE1",
"BU","Temporary Transfers","Other","Legal","LE1",
"BU","Temporary Transfers","Other","Moving","LE1",
"BU","Temporary Transfers","Other","Other","LE1",
